"epsilon","zeta","nu_short[1]","nu_short[2]","nu_short[3]","nu_short[4]","nu_short[5]","nu_short[6]","nu_short[7]","nu_short[8]","nu_short[9]","nu_short[10]","inoculum","beta_short[1]","beta_short[2]","beta_short[3]","r","alpha","gamma","x0","k0","x1","k1","x2","k2","x3","k3","x4","k4","u1","u2","u3","u4"
0.0476884,0.843769,0.000316228,0.000209491,0.000462633,0.000835879,0.00117243,0.00157478,0.00282871,0.00620708,0.0129746,0.0415429,9.01796e-05,0.533051,0.96483,1,53.5361,0.505552,0.266425,27.8347,0.4467,65.6503,1.83569,180.1,0.315656,259.983,0.897007,300.319,0.46691,0.206884,0.402432,0.244172,0.489986
0.0471779,0.883696,0.000263843,0.00030302,0.000388703,0.000928002,0.0011447,0.00157803,0.00299211,0.00640797,0.0136284,0.0426858,9.84885e-05,0.587437,0.97724,1,48.6289,0.495781,0.278326,27.9713,0.897484,63.0475,1.08421,180.264,0.471627,258.702,0.516252,298.218,0.450859,0.208608,0.421262,0.253485,0.484437
0.0472839,0.760882,0.000499766,0.000349878,0.000609109,0.000873818,0.00128212,0.0016413,0.00310511,0.00635584,0.0141986,0.0461691,0.000142674,0.417081,0.96915,1,45.9914,0.330315,0.251792,29.699,1.55588,66.1265,0.576515,182.45,0.43137,259.363,0.377071,297.644,0.498243,0.228513,0.447245,0.224109,0.484329
0.0509697,0.72533,0.000518248,0.000390946,0.000594444,0.00103939,0.00135517,0.00191426,0.00362813,0.00772022,0.0168648,0.0525114,8.66898e-05,0.488071,0.982354,1,42.6704,0.34643,0.258086,27.7826,0.560136,65.6363,0.549451,180.595,2.06076,260.974,0.364259,294.387,0.311344,0.191101,0.375866,0.170872,0.367761
0.0516499,0.732462,0.000345729,0.00035175,0.000554331,0.000937368,0.00121965,0.00163008,0.00293671,0.00639419,0.0146507,0.0456192,8.09914e-05,0.498428,0.993459,1,35.8345,0.366208,0.261769,27.6245,1.10792,63.8363,0.540762,178.843,2.0398,261.488,0.329333,293.515,0.302869,0.179643,0.365646,0.171782,0.376212
0.0601279,0.82694,0.000443237,0.000318125,0.00062827,0.00115735,0.00148185,0.00196549,0.00380722,0.00746065,0.0155118,0.0486453,0.000104453,0.476811,0.89904,1,92.4354,0.348726,0.318538,28.8019,0.693612,62.8122,0.675671,179.666,0.811971,257.07,1.89308,299.068,0.454787,0.219398,0.430919,0.265057,0.461583
0.0463339,0.752089,0.000261931,0.000226821,0.000400728,0.000754322,0.000968718,0.00130817,0.00234554,0.00480148,0.0109428,0.0329514,0.000107717,0.483693,0.958803,1,35.9201,0.436094,0.236921,28.0912,0.575796,64.1258,0.73957,179.733,0.54258,262.715,0.375857,297.093,3.60049,0.199834,0.397227,0.212983,0.454911
0.0489342,0.79035,0.00030681,0.00030995,0.000445889,0.000786837,0.00117543,0.00151918,0.00286993,0.00576302,0.0117931,0.0359659,8.74775e-05,0.465699,0.888905,1,60.8083,0.475454,0.240536,27.9749,0.669051,65.5885,1.01369,178.789,1.01163,262.358,0.588718,297.027,1.22068,0.189878,0.385794,0.203283,0.415653
0.0533124,0.674344,0.000278166,0.000218967,0.000425021,0.00101465,0.00126058,0.00176602,0.00330903,0.00615803,0.0130313,0.0411981,8.82243e-05,0.522811,0.858181,1,48.5201,0.3381,0.234932,28.0686,0.812067,64.6391,0.739994,178.488,0.606298,260.905,0.792239,297.033,1.36297,0.183639,0.364289,0.172837,0.373486
0.06236,0.827279,0.000446824,0.000391466,0.000613574,0.00113089,0.00173196,0.0021929,0.00414635,0.00869058,0.0180279,0.0589681,9.26553e-05,0.495672,0.949972,1,55.837,0.324413,0.338789,28.1314,0.614587,64.1398,2.92875,178.542,0.619564,259.979,0.374855,295.904,1.08657,0.202724,0.405059,0.217009,0.431589
